Park Name,Year,Visits,date_year,Region,State,Park_State
Death Valley NP,2017,1294827.0,2017-01-01,Pacific West ,CA,"Death Valley NP, CA"
Gateway Arch NP,2017,1398188.0,2017-01-01,Midwest ,MO,"Gateway Arch NP, MO"
Mount Rainier NP,2017,1415867.0,2017-01-01,Pacific West ,WA,"Mount Rainier NP, WA"
Shenandoah NP,2017,1458874.0,2017-01-01,Northeast ,VA,"Shenandoah NP, VA"
Arches NP,2017,1539028.0,2017-01-01,Intermountain ,UT,"Arches NP, UT"
Hot Springs NP,2017,1561616.0,2017-01-01,Midwest ,AR,"Hot Springs NP, AR"
Hawaii Volcanoes NP,2017,2016702.0,2017-01-01,Pacific West ,HI,"Hawaii Volcanoes NP, HI"
Cuyahoga Valley NP,2017,2226879.0,2017-01-01,Midwest ,OH,"Cuyahoga Valley NP, OH"
Bryce Canyon NP,2017,2571684.0,2017-01-01,Intermountain ,UT,"Bryce Canyon NP, UT"
Joshua Tree NP,2017,2853619.0,2017-01-01,Pacific West ,CA,"Joshua Tree NP, CA"
Glacier NP,2017,3305512.0,2017-01-01,Intermountain ,MT,"Glacier NP, MT"
Grand Teton NP,2017,3317000.0,2017-01-01,Intermountain ,WY,"Grand Teton NP, WY"
Olympic NP,2017,3401996.0,2017-01-01,Pacific West ,WA,"Olympic NP, WA"
Acadia NP,2017,3509271.0,2017-01-01,Northeast ,ME,"Acadia NP, ME"
Yellowstone NP,2017,4116524.0,2017-01-01,Intermountain ,WY,"Yellowstone NP, WY"
Yosemite NP,2017,4336890.0,2017-01-01,Pacific West ,CA,"Yosemite NP, CA"
Rocky Mountain NP,2017,4437215.0,2017-01-01,Intermountain ,CO,"Rocky Mountain NP, CO"
Zion NP,2017,4504812.0,2017-01-01,Intermountain ,UT,"Zion NP, UT"
Grand Canyon NP,2017,6254238.0,2017-01-01,Intermountain ,AZ,"Grand Canyon NP, AZ"
Great Smoky Mountains NP,2017,11338893.0,2017-01-01,Southeast ,TN,"Great Smoky Mountains NP, TN"
